Phase,Epoch,Loss,Acc,F1,AUC,Precision,Recall,VRAM
train,0,0.5395730582475662,0.73375,0.7338165458635341,0.73375,0.7336331834082959,0.734,161.41259765625
validation,0,0.3753356140929383,0.8376623376623377,0.8481166464155528,0.8376623376623377,0.7968036529680366,0.9064935064935065,145.34033203125
train,1,0.3721221808642149,0.854375,0.8554769879667535,0.8543750000000001,0.8490519576459,0.862,177.14599609375
validation,1,0.26394860527732156,0.9064935064935065,0.9067357512953368,0.9064935064935066,0.9043927648578811,0.9090909090909091,161.07373046875
train,2,0.3174303604364395,0.87425,0.8752170677251302,0.8742500000000001,0.8685376661742984,0.882,177.62255859375
validation,2,0.2791458312567178,0.8831168831168831,0.881578947368421,0.8831168831168831,0.8933333333333333,0.8701298701298701,161.55029296875
train,3,0.30062974101305007,0.879,0.879572032843991,0.879,0.8754333828628034,0.88375,177.62255859375
validation,3,0.23092444531329268,0.9103896103896104,0.9134253450439147,0.9103896103896103,0.883495145631068,0.9454545454545454,161.55029296875
train,4,0.2727857486009598,0.89575,0.8961136023916293,0.8957499999999999,0.8929990069513406,0.89925,177.14599609375
validation,4,0.23825040777008255,0.9038961038961039,0.9026315789473685,0.9038961038961039,0.9146666666666666,0.8909090909090909,161.07373046875
