Phase,Epoch,Loss,Acc,F1,AUC,Precision,Recall,VRAM
train,0,0.5517103428095579,0.731,0.7285570131180625,0.7309999999999999,0.7352342158859471,0.722,170.15380859375
validation,0,0.42868210619146174,0.8220779220779221,0.8170894526034713,0.822077922077922,0.8406593406593407,0.7948051948051948,164.32958984375
train,1,0.402698533564806,0.833375,0.8338940809968848,0.833375,0.831304347826087,0.8365,127.89013671875
validation,1,0.3906814493142165,0.8519480519480519,0.8398876404494382,0.851948051948052,0.9143730886850153,0.7766233766233767,121.87841796875
train,2,0.360587891638279,0.84875,0.84875,0.84875,0.84875,0.84875,127.89013671875
validation,2,0.33896508572937606,0.8649350649350649,0.865979381443299,0.864935064935065,0.8593350383631714,0.8727272727272727,121.87841796875
train,3,0.3341533738225698,0.863875,0.8646700633776563,0.863875,0.8596491228070176,0.86975,127.89013671875
validation,3,0.3743983355435458,0.825974025974026,0.7994011976047904,0.825974025974026,0.9434628975265018,0.6935064935064935,121.87841796875
train,4,0.31183764849603174,0.87125,0.8722718253968254,0.8712499999999999,0.8654035433070866,0.87925,127.89013671875
validation,4,0.27070282960866954,0.8818181818181818,0.8822768434670116,0.8818181818181817,0.8788659793814433,0.8857142857142857,121.87841796875
