Phase,Epoch,Loss,Acc,F1,AUC,Precision,Recall,VRAM
train,0,0.727367967069149,0.506,0.49732892393792927,0.506,0.5062143966856552,0.48875,337.19384765625
validation,0,0.7021371420327719,0.5545454545454546,0.4714946070878274,0.5545454545454546,0.5795454545454546,0.3974025974025974,293.6767578125
train,1,0.698748764038086,0.516625,0.4915187376725838,0.516625,0.5184466019417475,0.46725,380.572265625
validation,1,0.7498346427818398,0.5155844155844156,0.2757281553398058,0.5155844155844156,0.5461538461538461,0.18441558441558442,337.24267578125
train,2,0.692970588684082,0.538875,0.5303628262253341,0.538875,0.540337224383917,0.52075,380.572265625
validation,2,0.6924833223417208,0.5298701298701298,0.2297872340425532,0.5298701298701299,0.6352941176470588,0.14025974025974025,337.24267578125
train,3,0.6909558715820312,0.541375,0.5218297927798775,0.5413749999999999,0.5450585352572829,0.5005,380.572265625
validation,3,0.686184177150974,0.538961038961039,0.33891992551210426,0.538961038961039,0.5986842105263158,0.23636363636363636,337.24267578125
train,4,0.6905501708984375,0.535,0.5196280991735537,0.535,0.5373931623931624,0.503,380.572265625
validation,4,0.7665995808390828,0.4844155844155844,0.4583901773533424,0.4844155844155844,0.4827586206896552,0.43636363636363634,337.24267578125
