Phase,Epoch,Loss,Acc,F1,AUC,Precision,Recall,VRAM
train,0,0.5876571384370327,0.671375,0.6753118438927999,0.6713749999999999,0.6673175494264095,0.6835,109.59912109375
validation,0,0.47894861047918147,0.8220779220779221,0.7982326951399117,0.8220779220779222,0.9217687074829932,0.7038961038961039,106.7841796875
train,1,0.3550768327564001,0.854875,0.8496308768294263,0.854875,0.8814834721848965,0.82,109.59912109375
validation,1,0.5693569627675144,0.7545454545454545,0.6802030456852792,0.7545454545454545,0.9757281553398058,0.522077922077922,106.7841796875
train,2,0.30229875007271767,0.878625,0.8756881321213673,0.878625,0.8974022566255576,0.855,109.59912109375
validation,2,0.27232178279331754,0.9051948051948052,0.9055627425614489,0.9051948051948052,0.9020618556701031,0.9090909090909091,106.7841796875
train,3,0.27783225555717944,0.889875,0.8878706885579738,0.889875,0.9043297899922219,0.872,109.59912109375
validation,3,0.24223130291158504,0.9090909090909091,0.9107142857142857,0.9090909090909091,0.8947368421052632,0.9272727272727272,106.7841796875
train,4,0.25436096692085264,0.90125,0.8999493414387031,0.90125,0.9119609856262834,0.88825,109.59912109375
validation,4,0.23840613767698213,0.925974025974026,0.9270166453265045,0.925974025974026,0.9141414141414141,0.9402597402597402,106.7841796875
