Phase,Epoch,Loss,Acc,F1,AUC,Precision,Recall,VRAM
train,0,0.7107639811336994,0.49075,0.48883312421580927,0.49075,0.4906801007556675,0.487,815.1298828125
validation,0,0.693115234375,0.5,0.6666666666666666,0.5,0.5,1.0,707.380859375
train,1,0.6984972152709961,0.50325,0.4998741505159829,0.50325,0.503294475418145,0.4965,919.83203125
validation,1,0.705322265625,0.5,0.6666666666666666,0.5,0.5,1.0,813.6923828125
train,2,0.7013970209658146,0.50225,0.53328645100797,0.50225,0.5019858781994704,0.56875,919.83203125
validation,2,0.693115234375,0.5,0.0,0.5,0.0,0.0,813.6923828125
train,3,0.6949854125976562,0.50025,0.5066633761105627,0.50025,0.5002436647173489,0.51325,919.83203125
validation,3,0.693115234375,0.5,0.0,0.5,0.0,0.0,813.6923828125
train,4,0.6945660705566407,0.499625,0.47857235899439887,0.499625,0.49959205874354096,0.45925,919.83203125
validation,4,0.69384765625,0.5,0.6666666666666666,0.5,0.5,1.0,813.6923828125
