Phase,Epoch,Loss,Acc,F1,AUC,Precision,Recall,VRAM
train,0,0.7209182052612305,0.504375,0.5054259698141449,0.504375,0.5043564849390092,0.5065,350.81591796875
validation,0,0.7166662439123377,0.5,0.6666666666666666,0.5,0.5,1.0,324.2587890625
train,1,0.7088065490722656,0.503875,0.49676683149486495,0.503875,0.5039876511448418,0.48975,377.77294921875
validation,1,1.1700233716469306,0.5,0.6666666666666666,0.5,0.5,1.0,351.2158203125
train,2,0.706262451171875,0.5,0.5013712291199203,0.5,0.5,0.50275,377.77294921875
validation,2,0.9361203288103079,0.5,0.6666666666666666,0.5,0.5,1.0,351.2158203125
train,3,0.7032082824707031,0.507625,0.5049641824808345,0.507625,0.5077078594895122,0.50225,377.77294921875
validation,3,0.8728653139882273,0.4844155844155844,0.2523540489642185,0.4844155844155844,0.4589041095890411,0.17402597402597403,351.2158203125
train,4,0.6988039245605469,0.5165,0.4987039917055469,0.5165,0.5177610333692142,0.481,377.77294921875
validation,4,2.0454180158577957,0.43376623376623374,0.45905707196029777,0.4337662337662338,0.43942992874109266,0.4805194805194805,351.2158203125
