Phase,Epoch,Loss,Acc,F1,AUC,Precision,Recall,VRAM
train,0,0.7040341339111328,0.540125,0.539722256974853,0.540125,0.5401953418482344,0.53925,408.21875
validation,0,0.7026668399959416,0.5077922077922078,0.05012531328320802,0.5077922077922078,0.7142857142857143,0.025974025974025976,386.9775390625
train,1,0.6704705467224121,0.597625,0.6038153846153846,0.597625,0.5946666666666667,0.61325,429.31640625
validation,1,0.6458266221083604,0.6350649350649351,0.6317169069462647,0.635064935064935,0.6375661375661376,0.625974025974026,408.0751953125
train,2,0.6537032508850098,0.621,0.6267848350566223,0.6209999999999999,0.6173617846750727,0.6365,429.31640625
validation,2,0.6626251220703125,0.6402597402597403,0.6848691695108078,0.6402597402597403,0.6093117408906883,0.7818181818181819,408.0751953125
train,3,0.6518227882385254,0.62475,0.6294742039002715,0.6247499999999999,0.6216479765967821,0.6375,429.31640625
validation,3,0.6425435648336039,0.6454545454545455,0.6753864447086801,0.6454545454545455,0.6228070175438597,0.7376623376623377,408.0751953125
train,4,0.6446264324188232,0.63,0.6400778210116731,0.6299999999999999,0.6231060606060606,0.658,429.31640625
validation,4,0.6312247932731331,0.6623376623376623,0.6596858638743456,0.6623376623376623,0.6649076517150396,0.6545454545454545,408.0751953125
